"time","I.pob","R.pob","S.pob","dia"
73.40000000000001,4.273811822748305,919.6501580727353,76.07603010447308,73.40000000000001
73.59999999999999,4.178780750885192,919.7709058063959,76.05031344267515,73.59999999999999
73.8,4.085854811628509,919.8889679409363,76.02517724739147,73.8
74,3.994987824620817,920.0044038455061,76.00060832982921,74
74.2,3.906134309771209,920.1172720652229,75.97659362496213,74.2
74.40000000000001,3.819249887103021,920.2276296620993,75.95312045075401,74.40000000000001
74.59999999999999,3.734290903812718,920.3355328155836,75.93017628055995,74.59999999999999
74.8,3.651215475974631,920.4410351818117,75.90774934217002,74.8
75,3.569982245347653,920.5441898364503,75.88582791815857,75
75.2,3.490550571007083,920.6450489703319,75.86440045861772,75.2
75.40000000000001,3.41288084016218,920.7436633900761,75.84345576971862,75.40000000000001
75.59999999999999,3.336933634351007,920.8400837408667,75.82298262473957,75.59999999999999
75.8,3.262671073436876,920.9343585576288,75.80297036889179,75.8
76,3.190055813247954,921.0265357126156,75.78340847409434,76
76.2,3.119051847506764,921.1166613369692,75.7642868154819,76.2
76.40000000000001,3.04962362699448,921.2047809671288,75.74559540583469,76.40000000000001
76.59999999999999,2.981736418704021,921.2909390778102,75.72732450344382,76.59999999999999
76.8,2.915356131593194,921.3751793038231,75.70946456454182,76.8
77,2.850449349862185,921.4575443992925,75.69200625080342,77
77.2,2.78698359269012,921.5380759061422,75.67494050112577,77.2
77.40000000000001,2.724927054320111,921.6168145060875,75.65825843955051,77.40000000000001
77.59999999999999,2.664248839382201,921.6937997671434,75.64195139343239,77.59999999999999
77.8,2.60491852027665,921.7690705912395,75.62601088844175,77.8
78,2.54690644096061,921.8426649174331,75.6104286415642,78
78.2,2.490183135531152,921.9146203115129,75.59519655291386,78.2
78.40000000000001,2.434720175877516,921.9849731204566,75.58030670362372,78.40000000000001
78.59999999999999,2.38048956448816,922.0537590885215,75.56575134694829,78.59999999999999
78.8,2.327464264657361,922.1210128051655,75.55152293013494,78.8
79,2.275617712888337,922.1867682292612,75.53761405780821,79
79.2,2.224923825663315,922.251058686451,75.52401748784369,79.2
79.40000000000001,2.175357032854345,922.3139167964771,75.51072617062651,79.40000000000001
79.59999999999999,2.126892141634939,922.3753746096818,75.49773324864131,79.59999999999999
79.8,2.079504722658873,922.4354633016424,75.48503197565698,79.8
80,2.033170819190249,922.494213406632,75.47261577413582,80
80.2,1.987867508685019,922.5516543213976,75.46047816987543,80.2
80.40000000000001,1.943571874149143,922.6078152453913,75.44861288041749,80.40000000000001
80.59999999999999,1.900261728215062,922.6627245271853,75.4370137445576,80.59999999999999
80.8,1.85791485562029,922.7164103174684,75.42567482686948,80.8
81,1.816509912609906,922.7688998197324,75.41459026761584,81
81.2,1.776025910735954,922.820219728333,75.40375436088912,81.2
81.40000000000001,1.736442607724899,922.8703959225903,75.39316146964302,81.40000000000001
81.59999999999999,1.697740256759172,922.9194536703523,75.38280607284668,81.59999999999999
81.8,1.659899344850672,922.9674178415095,75.37268281359785,81.8
82,1.622900768685868,923.0143127644864,75.36278646678592,82
82.2,1.58672545010423,923.0601625228753,75.35311202697848,82.2
82.40000000000001,1.551355162467734,923.104990349814,75.3436544876764,82.40000000000001
82.59999999999999,1.516771890278481,923.1488191073114,75.33440900236818,82.59999999999999
82.8,1.482958706351632,923.1916706298194,75.32537066378686,82.8
83,1.449898407210968,923.2335667648197,75.3165348279274,83
83.2,1.417574442572588,923.2745286736447,75.30789688374055,83.2
83.40000000000001,1.38597011720428,923.3145773857673,75.29945249698663,83.40000000000001
83.59999999999999,1.355069338910375,923.3537333108637,75.29119735018415,83.59999999999999
83.8,1.324856382792414,923.3920164001049,75.28312721706064,83.8
84,1.295316042529024,923.4294460412269,75.275237916202,84
84.2,1.266433643756848,923.4660410568003,75.26752529940063,84.2
84.40000000000001,1.238194491730683,923.5018200924064,75.25998541582067,84.40000000000001
84.59999999999999,1.21058434879445,923.5368012855862,75.25261436557716,84.59999999999999
84.8,1.183589080211912,923.5710024992596,75.24540842048619,84.8
85,1.157195122997233,923.6044410411353,75.23836383582511,85
85.2,1.131389128320478,923.6371338866869,75.23147698495013,85.2
85.40000000000001,1.106158066499347,923.6690976268922,75.224744306566,85.40000000000001
85.59999999999999,1.081489172310098,923.7003484954118,75.21816233223549,85.59999999999999
85.8,1.057369966830429,923.73090236779,75.21172766533699,85.8
86,1.033788203158443,923.7607747793799,75.20543701741906,86
86.2,1.010731896362457,923.7899809302369,75.19928717335806,86.2
86.40000000000001,0.988189323937923,923.8185356940397,75.19327498197961,86.40000000000001
86.59999999999999,0.9661490549471493,923.8464535905155,75.18739735449476,86.59999999999999
86.8,0.944599997676816,923.8737487641979,75.18165123808278,86.8
